productId,primaryCategory,classificationCategory
0937531A,sealy-foundations,sealy-foundations
0966331B,sealy,
0966340B,,
0966351B,,
0966351B-Master,sealy-foundations,
10103220M,,
10103230M,,
10103250M,,
10103250M-Master,cloud,
10103270M,,
10103280M,,
10109220M,,
10109250M,,
10109250M-Master,cloud,
10109270M,,
10115210M,,
10115220M,,
10115230M,,
10115250M,,
10115250M-Master,flex,
10115270M,,
10116110M,,
10116120M,,
10116130M,,
10116150M,,
10116150M-Master,flex,
10116170M,,
10117120M,,
10117130M,,
10117150M,,
10117150M-Master,flex,
10117170M,,
10237110M,,
10237130M,,
10237150M,,
10237150M-Master,cloud,
10237170M,,
10237180M,,
10240210M,,
10240230M,,
10240250M,,
10240250M-Master,cloud,
10240270M,,
10240280M,,
10245220M,,
10245250M,,
10245250M-Master,cloud,
10245270M,,
10256110M,,
10256120M,,
10256130M,,
10256150M,,
10256150M-Master,contour,
10256170M,,
10258120M,,
10258150M,,
10258150M-Master,contour,
10258170M,,
10290220M,,
10290250M,,
10290250M-Master,contour,
10290270M,,
10292220M,,
10292230M,,
10292250M,,
10292250M-Master,flex,
10292270M,,
1050118,sofas-and-couches,contemporary-living
1050120,contemporary-living,contemporary-living
1050160,contemporary-living,floral
1090012,contemporary-living,functional-furniture
1090112,contemporary-living,game-ready-seating
1130321,living-room-chairs,living-room-chairs
1140235,loveseats,loveseats
1140238,sofas-and-couches,sofas-and-couches
1140260,contemporary-living,contemporary-living
1160418,contemporary-living,contemporary-living
1160618,contemporary-living,contemporary-living
1160718,contemporary-living,contemporary-living
1160818,sofas-and-couches,sofas-and-couches
1160820,contemporary-living,contemporary-living
1170014,,
1170014-Master,vintage-casual,ottomans
1170023,,
1170023-Master,vintage-casual,living-room-chairs
1170035,,
1170035-Master,loveseats,loveseats
1170038,,
1170038-Master,sofas-and-couches,sofas-and-couches
1170039,,
1170039-Master,vintage-casual,sleeper-sofas
1200008,contemporary-living,contemporary-living
1200014,,
1200014-Master,contemporary-living,ottomans
1200020,,
1200020-Master,contemporary-living,living-room-chairs
1200025,,
1200025-Master,contemporary-living,recliners
1200035,,
1200035-Master,loveseats,loveseats
1200036,,
1200036-Master,contemporary-living,sleeper-sofas
1200038,,
1200038-Master,sofas-and-couches,sofas-and-couches
1200055,contemporary-living,contemporary-living
1200067,contemporary-living,contemporary-living
1200108,contemporary-living,contemporary-living
1200114,,
1200120,,
1200125,,
1200135,,
1200136,,
1200138,,
1205331M,,
1205340M,,
1205351M,,
1205351M-Master,sealy,
1205361M,,
1227040M,,
1227051M,,
1227051M-Master,sealy,
1227061M,,
1227231M,,
1227240M,,
1227251M,,
1227251M-Master,sealy,
1227261M,,
1270011,contemporary-living,contemporary-living
1280522,vintage-casual,vintage-casual
1280535,loveseats,vintage-casual
1280538,sofas-and-couches,vintage-casual
1280539,vintage-casual,vintage-casual
1290011,,
1290011-Master,contemporary-living,contemporary-living
1300014,ottomans,french-country-living-room
1300020,living-room-chairs,french-country-living-room
1300021,living-room-chairs,french-country-living-room
1300035,loveseats,small-spaces-living-room
1300038,sofas-and-couches,sofas-and-couches
1300039,20-percent-off,traditional-living-room
1300060,bedroom-chairs,bedroom-chairs
1320025,contemporary-living,contemporary-living
1320035,contemporary-living,contemporary-living
1320038,contemporary-living,contemporary-living
1340514,vintage-casual,vintage-casual
1340521,vintage-casual,living-room-chairs
1340523,vintage-casual,vintage-casual
1340535,loveseats,vintage-casual
1340538,sofas-and-couches,vintage-casual
1340539,vintage-casual,vintage-casual
1350208,contemporary-living,contemporary-living
1370121,vintage-casual,vintage-casual
1370135,loveseats,vintage-casual
1370138,sofas-and-couches,vintage-casual
1370139,vintage-casual,vintage-casual
1380408,contemporary-living,hygge-living-room
1400211,deals-living-room,savvy-storage
1400248,,
1400249,,
1400266,,
1400267,,
1440321,vintage-casual,vintage-casual
1460211,urbanology,fall
1570308,contemporary-living,ottomans
1590008,contemporary-living,contemporary-living
1610029,,
1610029-Master,contemporary-living,recliners
1610129,,
1660008,vintage-casual,vintage-casual
1660021,,
1660021-Master,vintage-casual,living-room-chairs
1660025,vintage-casual,recliners
1660035,,
1660035-Master,loveseats,loveseats
1660038,sofas-and-couches,
1660039,,
1660039-Master,new-traditions,sleeper-sofas
1660046,vintage-casual,vintage-casual
1660055,vintage-casual,vintage-casual
1660056,vintage-casual,vintage-casual
1660060,vintage-casual,bedroom-chairs
1660066,vintage-casual,vintage-casual
1660067,vintage-casual,vintage-casual
1660125,new-traditions,recliners
1660135,,
1660138,sofas-and-couches,
1660139,,
1660146,new-traditions,new-traditions
1660155,new-traditions,new-traditions
1660156,new-traditions,new-traditions
1660166,new-traditions,new-traditions
1660167,new-traditions,new-traditions
1700125,family-spaces,family-spaces
1700174,loveseats,power-sofas-loveseats-and-recliners
1700177,,
1700186,loveseats,loveseats
1700187,sofas-and-couches,power-sofas-loveseats-and-recliners
1700188,sofas-and-couches,sofas-and-couches
1700198,family-spaces,family-spaces
1750025,,
1750025-Master,contemporary-living,recliners
1750125,,
1750225,,
1750325,,
1880327,family-spaces,family-spaces
1880427,family-spaces,family-spaces
1880527,family-spaces,family-spaces
1895730A,,
1895731A,,
1895740A,,
1895751A,,
1895751A-Master,sealy-foundations,
1942031M,,
1942040M,,
1942051M,,
1942051M-Master,stearns-foster,
1942061M,,
1942231M,,
1942240M,,
1942251M,,
1942251M-Master,stearns-foster,
1942261M,,
1942431M,,
1942440M,,
1942451M,,
1942451M-Master,stearns-foster,
1942461M,,
1942531M,,
1942540M,,
1942551M,,
1942551M-Master,stearns-foster,
1942561M,,
1990026,,
1990026-Master,vintage-casual,vintage-casual
2010008,,
2010008-Master,contemporary-living,contemporary-living
2010025,,
2010025-Master,contemporary-living,contemporary-living
2010108,,
2010125,,
2010135,contemporary-living,contemporary-living
2010138,contemporary-living,contemporary-living
2010139,contemporary-living,contemporary-living
2010208,,
2010225,,
2010235,contemporary-living,contemporary-living
2010238,contemporary-living,contemporary-living
2010239,contemporary-living,contemporary-living
2020008,,
2020008-Master,contemporary-living,contemporary-living
2020016,,
2020017,,
2020044,,
2020044-Master,,
2020066,,
2020067,,
2020208,ottomans,
2020244,living-room-chairs,
20510110B,,
20510120B,,
20510130B,,
20510150B,,
20510150B-Master,foundations,
20510190B,,
2054131M,,
2054140M,,
2054151M,,
2054151M-Master,stearns-foster,
2054161M,,
2054331M,,
2054340M,,
2054351M,,
2054351M-Master,stearns-foster,
2054361M,,
2058730B,sealy-foundations,
2058731B,sealy-foundations,
2058732B,sealy-foundations,
2058740B,sealy-foundations,
2058751B,sealy-foundations,
2058752B,sealy-foundations,
2058830L,sealy-foundations,
2058831L,sealy-foundations,
2058832L,sealy-foundations,
2058840L,sealy,
2058851L,sealy,
2058852L,sealy,
2070235,loveseats,small-spaces-living-room
2070238,sofas-and-couches,contemporary-living-room
2070239,contemporary-living,contemporary-living
2070260,contemporary-living,contemporary-living-room
2073230M,,
2073231M,,
2073240M,,
2073251M,,
2073251M-Master,sealy,
2073261M,,
2073431M,,
2073440M,,
2073451M,,
2073451M-Master,sealy,
2073461M,,
2073531M,,
2073540M,,
2073551M,,
2073551M-Master,sealy,
2073561M,,
2073731M,,
2073740M,,
2073751M,,
2073751M-Master,sealy,
2073761M,,
2074530M,,
2074531M,,
2074540M,,
2074551M,,
2074551M-Master,sealy,
2074561M,,
2074630M,,
2074631M,,
2074640M,,
2074651M,,
2074651M-Master,sealy,
2074661M,,
2080112,contemporary-living,functional-furniture
2084530M,,
2084531M,,
2084540M,,
2084551M,,
2084551M-Master,sealy,
2084561M,,
2084630M,,
2084631M,,
2084640M,,
2084651M,,
2084651M-Master,sealy,
2084661M,,
2091430M,,
2091431M,,
2091440M,,
2091451M,,
2091451M-Master,sealy,
2091461M,,
2091530M,,
2091531M,,
2091540M,,
2091551M,,
2091551M-Master,sealy,
2091561M,,
2091630M,,
2091631M,,
2091640M,,
2091651M,,
2091651M-Master,sealy,
2091661M,,
2091730M,,
2091731M,,
2091740M,,
2091751M,,
2091751M-Master,sealy,
2091761M,,
2091830M,,
2091831M,,
2091840M,,
2091851M,,
2091851M-Master,sealy,
2091861M,,
2091930M,,
2091931M,,
2091940M,,
2091951M,,
2091951M-Master,sealy,
2091961M,,
2092030M,,
2092031M,,
2092040M,,
2092051M,,
2092051M-Master,sealy,
2092061M,,
2092130M,,
2092131M,,
2092140M,,
2092151M,,
2092151M-Master,sealy,
2092161M,,
2092230M,,
2092231M,,
2092240M,,
2092251M,,
2092251M-Master,sealy,
2092261M,,
2092330M,,
2092331M,,
2092340M,,
2092351M,,
2092351M-Master,sealy,
2092361M,,
2140261,contemporary-living,contemporary-living
21510130B,,
21510150B,,
21510150B-Master,tempur-foundations,
21510160B,,
21510190B,,
2260316,,
2260316-Master,living-room-chairs,living-room-chairs
2260335,,
2260335-Master,loveseats,loveseats
2260338,,
2260338-Master,sofas-and-couches,sofas-and-couches
2260360,,
2260360-Master,bedroom-chairs,bedroom-chairs
2270019,family-spaces,family-spaces
2270040,family-spaces,family-spaces
2270041,family-spaces,family-spaces
2270046,family-spaces,family-spaces
2270057,family-spaces,family-spaces
2270058,family-spaces,family-spaces
2270062,family-spaces,family-spaces
2270077,family-spaces,family-spaces
2350011,contemporary-living,small-spaces-living-room
2350018,sofas-and-couches,contemporary-living
2350021,contemporary-living,contemporary-living
2350035,loveseats,loveseats
2430208,contemporary-living,contemporary-living
2430213,contemporary-living,contemporary-living
2430216,contemporary-living,contemporary-living
2430217,contemporary-living,contemporary-living
2430234,contemporary-living,contemporary-living
2430246,contemporary-living,contemporary-living
2430255,contemporary-living,contemporary-living
2430256,contemporary-living,contemporary-living
2430275,contemporary-living,contemporary-living
2430276,contemporary-living,contemporary-living
2430277,contemporary-living,contemporary-living
25287110A,,
25287130A,,
25287150A,,
25287150A-Master,tempur-foundations,
25289220A,foundations,
25289230A,foundations,
2550014,vintage-casual,vintage-casual
2550023,vintage-casual,vintage-casual
2550035,loveseats,vintage-casual
2550038,sofas-and-couches,sofas-and-couches
2550046,vintage-casual,vintage-casual
25565210A,foundations,
25565220A,foundations,
25565230A,foundations,
25565250A,foundations,
2600161,contemporary-living,contemporary-living
2600261,contemporary-living,contemporary-living
2600361,contemporary-living,contemporary-living
2610425,family-spaces,family-spaces
2610488,sofas-and-couches,sofas-and-couches
2610494,loveseats,loveseats
2610525,,
2610588,,
2610594,,
2660025,contemporary-living,
2660035,loveseats,
2660038,sofas-and-couches,
2660125,contemporary-living,
2660135,loveseats,
2660138,sofas-and-couches,
2660225,contemporary-living,
2660235,loveseats,loveseats
2660238,sofas-and-couches,sofas-and-couches
2710125,,
2710125-Master,contemporary-living,recliners
2710136,,
2710136-Master,contemporary-living,sleeper-sofas
2710137,,
2710137-Master,contemporary-living,sleeper-sofas
2710139,,
2710139-Master,contemporary-living,sleeper-sofas
2710225,,
2710236,,
2710237,,
2710239,,
2710325,,
2710336,,
2710337,,
2710339,,
2730014,,
2730020,,
2730035,,
2730038,,
2780125,family-spaces,family-spaces
2780148,family-spaces,family-spaces
2780149,family-spaces,family-spaces
2790120,cloverfield,urban-loft
2790121,cloverfield,floral
2790135,loveseats,small-spaces-living-room
2790138,sofas-and-couches,fall
2800326,recliners,fall
2810108,,
2810108-Master,vintage-casual,ottomans
2810208,,
2810408,,
2820008,contemporary-living,contemporary-living
2820021,contemporary-living,floral
2820035,loveseats,coastal-living-room
2820038,sofas-and-couches,contemporary-living
2820039,contemporary-living,contemporary-living
2850122,urbanology,floral
2850135,loveseats,loveseats
2850138,sofas-and-couches,sofas-and-couches
2870108,urbanology,glam-living-room
2870116,urbanology,urbanology
2870117,urbanology,urbanology
2870122,urbanology,farmhouse-living-room
2870134,urbanology,urbanology
2870155,urbanology,urbanology
2870156,urbanology,urbanology
2870175,urbanology,urbanology
2870177,urbanology,urbanology
2870199,urbanology,urbanology
2880021,urbanology,floral
2880035,loveseats,loveseats
2880038,sofas-and-couches,sofas-and-couches
2880039,urbanology,traditional-living-room
2880060,,
2920025,recliners,
2920074,loveseats,
2920086,loveseats,
